Gene	C42B_siZFX_rep1	C42B_siZFX_rep2	C42B_siZFX_rep3	C42B_siCtrl_rep1	C42B_siCtrl_rep2	C42B_siCtrl_rep3
5S_rRNA	nan	nan	nan	nan	nan	nan
7SK	nan	nan	nan	nan	nan	nan
ABHD3	26.7242	27.3031	25.8001	22.35	23.2641	23.5799
ABHD4	35.549	35.3119	35.3866	31.297	29.7527	31.0792
ABHD5	16.2759	15.9964	17.3143	18.0688	17.3269	18.1699
ABHD6	14.3195	14.8615	15.9109	13.9561	14.9473	15.1478
ABHD8	14.9361	18.3085	17.9359	23.3474	22.8513	22.8213
ABI1	34.0592	31.5384	32.9881	28.4759	27.3243	26.1476
ABI2	12.0136	11.4825	12.0485	14.9718	15.2883	14.2317
ABI3	0.291385	0.149899	0.29374	0.337105	0.207922	0.14924
ABI3BP	0.166506	0.214142	0.0815944	0.202263	0.150166	0.11193
ABL1	54.7383	55.9121	53.1667	56.5997	57.6996	59.6206
ABL2	46.6216	44.5199	41.107	38.5985	38.5931	39.8096
ABLIM1	59.0677	56.5969	57.2643	57.0724	56.072	56.1879
ABLIM2	nan	nan	nan	nan	nan	nan
ABLIM3	1.24879	1.22061	1.28919	0.674209	0.716175	0.858128
ABO	nan	nan	nan	nan	nan	nan
ABR	30.5284	32.7506	28.8292	33.1643	32.7582	30.2865
ABRA	nan	nan	nan	nan	nan	nan
ABRACL	17.941	17.6453	19.3216	13.1808	13.5958	13.1331
ABT1	21.8123	22.2708	23.2218	20.024	17.5694	16.9014
ABT1P1	nan	nan	nan	nan	nan	nan
ABTB1	2.16458	2.5697	1.90931	1.55068	1.4439	1.30585
ABTB2	12.821	14.3904	13.0225	9.06812	9.31027	9.21555
AC000003.1	nan	nan	nan	nan	nan	nan
AC000003.2	nan	nan	nan	nan	nan	nan
AC000029.1	nan	nan	nan	nan	nan	nan
AC000032.2	nan	nan	nan	nan	nan	nan
AC000036.4	nan	nan	nan	nan	nan	nan
AC000041.8	nan	nan	nan	nan	nan	nan
AC000067.1	nan	nan	nan	nan	nan	nan
AC000068.10	0.208132	0.278385	0.326378	0.404526	0.231024	0.335789
AC000068.5	6.81217	5.32811	5.78794	6.03984	5.89798	5.30697
AC000068.9	nan	nan	nan	nan	nan	nan
AC000077.2	nan	nan	nan	nan	nan	nan
AC000078.5	0.832529	0.364041	0.44061	0.134842	0.219473	0.335789
AC000081.2	nan	nan	nan	nan	nan	nan
AC000089.3	3.44874	1.85013	3.57025	1.19196	1.65431	1.87767
